seed,method,Dr_subset_size,acc_forget,acc_retain
3407,our,1,0.68,0.9
3407,our,0.9,0.77,0.9
3407,our,0.8,0.69,0.9
3407,our,0.7,0.66,0.89
3407,our,0.6,0.69,0.88
3407,our,0.5,0.64,0.88
3407,our,0.4,0.66,0.86
3407,our,0.3,0.66,0.85
3407,our,0.2,0.92,0.61
3407,our,0.1,0.92,0.43
3407,our,0,0.92,0.3
3407,unsir,1,0.96,0.99
3407,unsir,0.9,0.96,0.99
3407,unsir,0.8,0.97,0.98
3407,unsir,0.7,0.96,0.98
3407,unsir,0.6,0.97,0.98
3407,unsir,0.5,0.96,0.98
3407,unsir,0.4,0.95,0.98
3407,unsir,0.3,0.95,0.97
3407,unsir,0.2,0.94,0.96
3407,unsir,0.1,0.94,0.95
3407,unsir,0,0.91,0.91
3407,ssd,1,0.97,0.98
3407,ssd,0.9,0.98,0.98
3407,ssd,0.8,0.97,0.98
3407,ssd,0.7,0.97,0.97
3407,ssd,0.6,0.98,0.98
3407,ssd,0.5,0.97,0.98
3407,ssd,0.4,0.96,0.97
3407,ssd,0.3,0.97,0.98
3407,ssd,0.2,0.97,0.97
3407,ssd,0.1,0.94,0.94
3407,ssd,0,0.9,0.9
3407,scrub,1,0.91,0.91
3407,scrub,0.9,0.91,0.91
3407,scrub,0.8,0.91,0.91
3407,scrub,0.7,0.91,0.91
3407,scrub,0.6,0.91,0.91
3407,scrub,0.5,0.91,0.91
3407,scrub,0.4,0.91,0.91
3407,scrub,0.3,0.91,0.91
3407,scrub,0.2,0.91,0.91
3407,scrub,0.1,0.91,0.91
3407,scrub,0,0.91,0.91
3407,bad-teacher,1,0.71,0.92
3407,bad-teacher,0.9,0.71,0.92
3407,bad-teacher,0.8,0.71,0.91
3407,bad-teacher,0.7,0.71,0.91
3407,bad-teacher,0.6,0.71,0.91
3407,bad-teacher,0.5,0.71,0.9
3407,bad-teacher,0.4,0.68,0.88
3407,bad-teacher,0.3,0.67,0.86
3407,bad-teacher,0.2,0.65,0.82
3407,bad-teacher,0.1,0.59,0.73
3407,bad-teacher,0,0.11,0.12
3407,amnesiac,1,0.9,0.98
3407,amnesiac,0.9,0.87,0.97
3407,amnesiac,0.8,0.87,0.97
3407,amnesiac,0.7,0.86,0.96
3407,amnesiac,0.6,0.84,0.95
3407,amnesiac,0.5,0.83,0.94
3407,amnesiac,0.4,0.8,0.92
3407,amnesiac,0.3,0.73,0.87
3407,amnesiac,0.2,0.63,0.78
3407,amnesiac,0.1,0.42,0.58
3407,amnesiac,0,0.1,0.14
3407,neggrad,1,0.99,0.99
3407,neggrad,0.9,0.99,0.99
3407,neggrad,0.8,0.99,0.99
3407,neggrad,0.7,0.99,0.99
3407,neggrad,0.6,0.99,0.99
3407,neggrad,0.5,0.99,0.98
3407,neggrad,0.4,0.99,0.98
3407,neggrad,0.3,0.99,0.98
3407,neggrad,0.2,0.99,0.98
3407,neggrad,0.1,0.99,0.97
3407,neggrad,0,0.99,0.97
3407,finetune,1,0.97,0.99
3407,finetune,0.9,0.98,0.99
3407,finetune,0.8,0.98,0.99
3407,finetune,0.7,0.97,0.99
3407,finetune,0.6,0.98,0.99
3407,finetune,0.5,0.97,0.99
3407,finetune,0.4,0.98,0.99
3407,finetune,0.3,0.97,0.98
3407,finetune,0.2,0.97,0.98
3407,finetune,0.1,0.97,0.97
3407,finetune,0,0.94,0.95
13,our,1,0.7,0.91
13,our,0.9,0.73,0.9
13,our,0.8,0.69,0.92
13,our,0.7,0.69,0.88
13,our,0.6,0.67,0.9
13,our,0.5,0.64,0.91
13,our,0.4,0.7,0.89
13,our,0.3,0.66,0.85
13,our,0.2,0.91,0.56
13,our,0.1,0.91,0.41
13,our,0,0.91,0.39
13,unsir,1,0.98,1
13,unsir,0.9,0.98,0.99
13,unsir,0.8,0.98,0.99
13,unsir,0.7,0.97,0.99
13,unsir,0.6,0.98,0.99
13,unsir,0.5,0.98,0.99
