method,alpha,seed,mia,forget,retain,time
our,1024,3407,1,0.66,0.87,0.3
our,512,3407,1,0.66,0.87,0.3
our,256,3407,1,0.66,0.87,0.3
our,128,3407,1,0.66,0.87,0.3
our,64,3407,1,0.66,0.87,0.3
our,32,3407,1,0.66,0.87,0.3
our,16,3407,0,0.7,0.88,0.3
our,8,3407,0,0.76,0.88,0.3
our,4,3407,0,0.81,0.88,0.29
our,2,3407,0,0.85,0.88,0.29
retrained,,3407,0.5,0.6,0.92,1.15
unsir,,3407,0,0.97,0.98,0.48
ssd,,3407,0.63,0.71,0.71,0.58
scrub,,3407,0.73,0.89,0.89,0.62
bad-teacher,,3407,0,0.92,0.89,0.32
amnesiac,,3407,0,0.97,1,0.6
neggrad,,3407,0,1,1,0.52
finetune,,3407,0,0.99,1,0.46
original,,3407,0.72,0.9,0.89,1.54
our,4,13,0,0.86,0.94,0.29
our,2,13,0,0.91,0.93,0.29
our,1024,13,0,0.62,0.92,0.3
our,512,13,0,0.62,0.92,0.3
our,256,13,0,0.62,0.92,0.3
our,128,13,0,0.62,0.93,0.3
our,64,13,0,0.63,0.93,0.3
our,32,13,0,0.66,0.93,0.3
our,16,13,0,0.7,0.93,0.3
our,8,13,0,0.77,0.93,0.3
unsir,,13,0,0.98,0.98,0.45
scrub,,13,0.81,0.96,0.95,0.6
bad-teacher,,13,0,0.96,0.95,0.31
amnesiac,,13,0,0.97,1,0.57
neggrad,,13,0,1,1,0.48
finetune,,13,0,0.99,1,0.42
ssd,,13,0.61,0.69,0.69,0.540003534
retrained,,13,0.5,0.6,0.97,1.65
original,,13,0.81,0.96,0.95,1.96
our,4,12,0,1,0.99,0.29
our,2,12,0.44,1,0.99,0.29
our,1024,12,0.61,0.96,0.99,0.3
our,512,12,1,0.96,0.98,0.3
our,256,12,1,0.96,0.98,0.3
our,128,12,1,0.97,0.98,0.3
our,64,12,0,0.95,0.99,0.3
our,32,12,0.4,0.97,0.99,0.3
our,16,12,0.42,0.99,0.99,0.31
our,8,12,0.41,0.99,0.99,0.3
amnesiac,,12,0,1,1,0.57
scrub,,12,0.94,1,1,0.57
unsir,,12,0.45,0.99,0.99,0.45
ssd,,12,0.92,0.99,0.99,0.54
bad-teacher,,12,0.67,0.99,0.99,0.3
neggrad,,12,0.45,1,1,0.49
finetune,,12,0,1,1,0.42
retrained,,12,0.79,0.93,1,5.84
original,,12,0.94,1,1,6.23

