method,alpha,seed,mia,forget,retain,time
our,4,3407,0.87,1,1,7.07
our,2,3407,0.87,1,1,7.06
our,1024,3407,0.36,1,0.95,2.45
our,512,3407,0.36,1,0.95,2.45
our,256,3407,0.36,1,0.95,2.45
our,128,3407,0.54,1,0.97,7.04
our,64,3407,0.57,1,0.99,7.04
our,32,3407,0.77,1,1,7.04
our,16,3407,0.85,1,1,7.05
our,8,3407,0.87,1,1,7.05
unsir,,3407,0.9,1,1,10.96
ssd,,3407,0.89,1,1,13.99
scrub,,3407,0.88,1,1,17.23
bad-teacher,,3407,0.8,0.97,0.97,8.31
amnesiac,,3407,0.83,0.99,1,13.16
neggrad,,3407,0.91,1,1,12.97
finetune,,3407,0.9,1,1,11.64
retrained,,3407,0.88,0.99,1,73.9
original,,3407,0.88,1,1,78.11
our,4,13,0.87,1,1,7.07
our,2,13,0.88,1,1,7.05
our,1024,13,0.62,1,0.95,2.45
our,512,13,0.62,1,0.95,2.45
our,256,13,0.62,1,0.95,2.45
our,128,13,0.54,1,0.97,7.03
our,64,13,0.64,1,0.99,7.04
our,32,13,0.79,1,1,7.05
our,16,13,0.86,1,1,7.04
our,8,13,0.87,1,1,7.05
unsir,,13,0.9,0.99,0.99,10.61
ssd,,13,0.89,1,1,13.56
scrub,,13,0.89,1,1,16.65
neggrad,,13,0.91,1,1,12.51
finetune,,13,0.9,0.99,1,11.22
bad-teacher,,13,0.8,0.97,0.97,8.12
amnesiac,,13,0.83,0.99,1,12.72
retrained,,13,0.88,0.99,1,71.61
original,,13,0.88,1,1,79.28
our,4,12,0.87,1,1,7.06
our,2,12,0.87,1,1,7
our,1024,12,0.39,1,0.95,2.45
our,512,12,0.39,1,0.95,2.45
our,256,12,0.38,1,0.95,2.45
our,128,12,0.53,1,0.97,7.04
our,64,12,0.75,0.99,1,7.04
our,32,12,0.77,1,1,7.05
our,16,12,0.86,1,1,7.05
our,8,12,0.87,1,1,6.99
unsir,,12,0.9,0.99,0.99,10.6
ssd,,12,0.89,1,1,13.55
scrub,,12,0.88,1,1,16.56
neggrad,,12,0.91,1,1,12.5
finetune,,12,0.91,0.99,1,11.22
bad-teacher,,12,0.81,0.97,0.97,8.13
amnesiac,,12,0.84,0.99,1,12.72
retrained,,12,0.87,0.99,1,84.12
original,,12,0.88,1,1,95.48
