method,alpha,seed,mia,forget,retain,time
our,4,3407,0.47,0.85,0.86,1.09
our,2,3407,0.47,0.86,0.87,1.08
unsir,,3407,0.46,0.73,0.88,3.21
ssd,,3407,0.46,0.74,0.76,1.96
scrub,,3407,0.48,0.86,0.86,2.25
bad-teacher,,3407,0.42,0.53,0.58,1.22
amnesiac,,3407,0.6,0.67,0.75,1.79
neggrad,,3407,0.5,0.89,0.89,1.7
finetune,,3407,0.46,0.79,0.9,1.4
our,8,3407,0.47,0.82,0.83,1.1
retrained,,3407,0.39,0.58,0.81,3.7
original,,3407,0.5,0.86,0.86,6.05
our,4,12,0.58,0.61,0.66,1.1
our,2,12,0.58,0.61,0.66,1.09
unsir,,12,0.59,0.57,0.73,3.24
ssd,,12,0.58,0.61,0.65,1.92
scrub,,12,0.58,0.63,0.66,2.21
bad-teacher,,12,0.58,0.5,0.57,1.19
amnesiac,,12,0.42,0.58,0.67,1.76
neggrad,,12,0.59,0.66,0.67,1.69
finetune,,12,0.55,0.58,0.7,1.41
our,8,12,0.58,0.62,0.66,1.1
retrained,,12,0.57,0.57,0.65,14.1
original,,12,0.58,0.62,0.65,16.82
our,4,13,0.59,0.61,0.67,1.1
our,2,13,0.59,0.61,0.67,1.09
unsir,,13,0.42,0.58,0.72,3.21
ssd,,13,0.6,0.64,0.67,1.93
scrub,,13,0.59,0.63,0.67,2.22
bad-teacher,,13,0.61,0.49,0.53,1.19
amnesiac,,13,0.61,0.56,0.67,1.79
neggrad,,13,0.56,0.67,0.69,1.72
finetune,,13,0.6,0.61,0.72,1.41
our,8,13,0.59,0.61,0.67,1.09
retrained,,13,0.56,0.57,0.66,14.03
original,,13,0.58,0.64,0.66,16.82
